set,kind,market_id,title,prefilter,prefilter_family,market_slug,event_slug,event_title
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0x4675a1ab662b5c4b32cd61936b06fc0e2186959c5a722ce0d1eeead6f700bfe2,Will Time 2025 Person of the Year be leaked?,RESIDUAL,,,,
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0x060b4d183997c22771263ff15c5f910e83e85730c941a1beb7513874e5a35eeb,Will the Cowboys beat the Giants by 4 or more points?,RESIDUAL,,,,
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0x6c30b47d46505e6014ecd2fe7cd39933de35fa1664df690837a1c3a41f31e72a,SNHL: Lausanne vs. SCL Tigers,RESIDUAL,,,,
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0xf69d0bf4e182ac1e4085fa8136d26dcc24c7b7815eb92fda7611f9176ccb64fb,Jeremiah Fears: Assists Over 3.5,RESIDUAL,,,,
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0xf0cd65232515cfd26a759ce1251cfc377eae002987f84a000cdd480af3f7ce1d,Will the fight be won by KO or TKO?,RESIDUAL,,ufc-dus3-msaid-2026-07-25-win-by-ko-tko,ufc-dus3-msaid-2026-07-25,"UFC Fight Night: Dustin Jacoby vs. Muhammad Said (Light Heavyweight, Prelims)"
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0x1e247fca20f3bdd3f9107f0278d95731e3416b94747c3f78c60ba87e42848373,Austin: Lucrezia Stefanini vs Sinja Kraus,RESIDUAL,,,,
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0xd84c5afca7302a3c1530bdd8693584d084d6c8e880219397099de1d78a874254,"Will the total number of TSA passengers for January 24 be between 2,300,000 and 2,400,000?",RESIDUAL,,will-the-total-number-of-tsa-passengers-for-january-24-be-between-2300000-and-2400000,number-of-tsa-passengers-january-24,Number of TSA Passengers January 24?
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0x7df920df129c0865fbc5a90911d73ead36b0ff0d82c16a99d6c96c7ec1c06a1a,Map 2: Odd/Even Total Kills?,RESIDUAL,,cs2-sin2-yn-2026-04-22-game2-odd-even-total-kills,cs2-sin2-yn-2026-04-22,Counter-Strike: Sinners vs Young Ninjas (BO3) - Conquest of Prague Online Stage Group Stage
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0x406efc809e1b97460685f57b09dfbed05a7dcadac251a0b99ecf1682f6658893,Will Elon Musk's net worth be between $340b and $350b on August 31?,RESIDUAL,,,,
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0x43b91ff6fba12344712e35eedd23a4a3e9988fab02aa7f603c0989cff7045fb7,Will Bruno Mars have the greatest number of monthly Spotify listeners this month?,RESIDUAL,,will-bruno-mars-have-the-greatest-number-of-monthly-spotify-listeners-this-month-587,top-spotify-artist-in-june,Top Spotify artist in June?
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0x5c643c3aa7c04a2c24bdd80bf37799ba17e809b4d0ca39cdf7c3d75bc9a157d9,"Erste Bank Open, Qualification: Marton Fucsovics vs Tristan Schoolkate",RESIDUAL,,atp-fucsovi-schoolk-2025-10-18,atp-fucsovi-schoolk-2025-10-18,"Erste Bank Open, Qualification: Marton Fucsovics vs Tristan Schoolkate"
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0xf380483f16bf43029a8bee76ea573f3ca8105285f03ca1f863e86c63e40ebfba,"Will Elon Musk post 240-259 tweets from July 3 to July 10, 2026?",RESIDUAL,,elon-musk-of-tweets-july-3-july-10-240-259,elon-musk-of-tweets-july-3-july-10,"Elon Musk # tweets July 3 - July 10, 2026?"
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0x5609bd4f6a47806a19b2663966fa673cd5133d1260d61004e79ab3f54e2435e1,Arizona Wildcats vs. Connecticut Huskies,RESIDUAL,,,,
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0x4a030818d63ccc507b073303d25b557bde78117cbb9059f868709bbe999cbfe3,"Will Shayne say ""Bet on your Beliefs"" during 60 Minutes?",RESIDUAL,,,,
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0xd87144eff5bd34409823fdc1f776e8945969a113a82cba18f6125e6b130c4e72,Will the price of XRP be between $2.90 and $3.00 on September 22?,RESIDUAL,,,,
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0xe9f3b8c276c31b82fafc0664892ec1418973a8a2b42804bd9533571288cff543,Bears vs. Titans,RESIDUAL,,,,
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0xa05d8a684b40450d2b8a8fdf07df0b50089de97f675bb4489ffa81b00abb60c4,Will Avengers: Doomsday have the best domestic opening week in 2026?,RESIDUAL,,will-avengers-doomsday-have-the-best-domestic-opening-week-in-2026,which-movie-has-biggest-opening-week-in-2026,Which movie has biggest opening week in 2026?
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0x0ad08cab7fb310932104eb5524279673b9b758811b73cd42839974893f797161,Will Israel strike ≥4 countries in April 2026?,RESIDUAL,,,,
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0x431e19556255ff8f27f9c3c761cf8fc31770dae121fa45aef532af0941ba7d2a,Diamondbacks vs. Cardinals,RESIDUAL,,,,
b,ambiguous-residual (Unknown & prefilter=RESIDUAL & no M9 keyword),0xa8e19230eaa317e77718209d4d1763924739f409397b518e4f59d219755bb14e,Copa Colsanitas: Sarah Rakotomanga vs Jessica Bouzas Maneiro,RESIDUAL,,wta-rakotom-maneiro-2026-03-30,wta-rakotom-maneiro-2026-03-30,Copa Colsanitas: Sarah Rakotomanga vs Jessica Bouzas Maneiro
